account_name,opportunity_name,department_name,num_free_users,num_self_serve_users,num_users_with_dept_match
Abo Akademi University,CS FY27 Renewal: Abo Akademi University - Faculty of Science and Technology,Faculty of Science and Engineering,15,0,15
Abo Akademi University,CS FY27 Renewal: Abo Akademi University - Faculty of Science and Technology,No Department Listed,10,4,0
Abo Akademi University,CS FY27 Renewal: Abo Akademi University - Faculty of Science and Technology,Department of Cell Biology,7,1,0
Abo Akademi University,CS FY27 Renewal: Abo Akademi University - Faculty of Science and Technology,Department of Biosciences,5,2,0
Abo Akademi University,CS FY27 Renewal: Abo Akademi University - Faculty of Science and Technology,Computer engineering,1,0,0
Abo Akademi University,CS FY27 Renewal: Abo Akademi University - Faculty of Science and Technology,Laboratory of Molecular Science and Engineering,1,0,0
Abo Akademi University,CS FY27 Renewal: Abo Akademi University - Faculty of Science and Technology,Department of pharmacy,1,0,0
Abo Akademi University,CS FY27 Renewal: Abo Akademi University - Faculty of Science and Technology,biology,1,0,0
Abo Akademi University,CS FY27 Renewal: Abo Akademi University - Faculty of Science and Technology,Biochemistry,1,0,0
Abo Akademi University,CS FY27 Renewal: Abo Akademi University - Faculty of Science and Technology,Cell Biology,1,0,0
Abo Akademi University,CS FY27 Renewal: Abo Akademi University - Faculty of Science and Technology,Department of Chemical Engineering,1,0,0
Abo Akademi University,CS FY27 Renewal: Abo Akademi University - Faculty of Science and Technology,Analytical chemistry,1,0,0
Abo Akademi University,CS FY27 Renewal: Abo Akademi University - Faculty of Science and Technology,Department of Biology,1,0,0
Abo Akademi University,CS FY27 Renewal: Abo Akademi University - Faculty of Science and Technology,Department of Engineering and Information Technology,1,0,0
Abo Akademi University,CS FY27 Renewal: Abo Akademi University - Faculty of Science and Technology,SBL,1,0,0
Abo Akademi University,CS FY27 Renewal: Abo Akademi University - Faculty of Science and Technology,Environmental and marine biology,1,0,0
Abo Akademi University,CS FY27 Renewal: Abo Akademi University - Faculty of Science and Technology,AAB,1,0,0
Abo Akademi University,CS FY27 Renewal: Abo Akademi University - Faculty of Science and Technology,Speech and Language Pathology,1,0,0
Abo Akademi University,CS FY27 Renewal: Abo Akademi University - Faculty of Science and Technology, Biochemistry,1,0,0
Abo Akademi University,CS FY27 Renewal: Abo Akademi University - Faculty of Science and Technology,Cmb,1,0,0
Abo Akademi University,CS FY27 Renewal: Abo Akademi University - Faculty of Science and Technology,Department of Psychology and Logopedics,1,0,0
Abo Akademi University,CS FY27 Renewal: Abo Akademi University - Faculty of Science and Technology,Pharmaceutical Sciences Laboratory,1,0,1
Abo Akademi University,CS FY27 Renewal: Abo Akademi University - Faculty of Science and Technology,Natural Materials,1,0,0
Abo Akademi University,CS FY27 Renewal: Abo Akademi University - Faculty of Science and Technology,Department of Environmental and Marine Sciences,0,1,0
Abo Akademi University,CS FY27 Renewal: Abo Akademi University - Faculty of Science and Technology,Department of  Biochemistry and Cell Biology,0,1,0
Abo Akademi University,CS FY27 Renewal: Abo Akademi University - Faculty of Science and Technology,EMB,0,1,0
Abo Akademi University,CS FY27 Renewal: Abo Akademi University - Faculty of Science and Technology,Åbo Akademi,0,1,0
Abo Akademi University,CS FY27 Renewal: Abo Akademi University - Faculty of Science and Technology,Environmental and Marine Biology,0,1,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Department of Pharmacology and Systems Physiology,16,7,23
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Department of Biomedical Engineering,15,2,17
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Department of Internal Medicine,14,2,16
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Department of Pharmaceutical Sciences,12,2,14
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Department of Cancer Biology,11,0,11
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,Department of Biological Sciences,10,2,0
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,No Department Listed,9,10,0
