Opportunity Name,Renewal Target Amount,Renewal Date,Customer Usage Health,License Type,Opportunity Owner,TeamOrg ID,Renewed Contract Value*,Customer Relationship Health,$ Growth at Renewal,Churn Reason,Churn Reason Notes,CS POC Relationship Score,Current Number of Seats Available,Seats Filled,Seat Activation Rate,Active Users Last 90 Days,Initial Number of Seats
CS FY27 Renewal:  San Diego State University - Cell and Molecular Biology Program Area (Biology Department),5385,6/27/2026,yellow,Named User,Fuzail Kadri,6674a3d0827e160903f9a5b2,5385,,0,,,Transactional (2/5),25,25,100,14,25
CS FY27 Renewal:  SRM Institute of Science and Technology - School of Bioengineering - Varshini Karthik,5385,7/16/2026,yellow,Named User,Fuzail Kadri,668427d1e1dc81939b7ef4bc,,Healthy,0,,,Transactional (2/5),25,25,100,15,25
CS FY27 Renewal: Georgia State University // Institute of Biomedical Sciences,7539,11/1/2026,extra green,Defined Group,Fuzail Kadri,68d2db218c836d66954a30ec,,,0,,,,150,86,57,43,35
CS FY27 Renewal:  RIVM - Center for Immunology of Infectious Diseases and Vaccines,8400.6,11/7/2026,orange,Defined Group,Fuzail Kadri,671be05663e26d1cd08453ac,,Neutral,0,,,Seat at the Table (3/5),50,48,96,26,39
CS FY27 Renewal:  Rowan University - Cooper Medical School - Department of Biomedical Sciences,4308,11/20/2026,orange,Named User,Fuzail Kadri,673514e19089bf4ed8c237b6,,Healthy,0,,,Seat at the Table (3/5),21,19,90,7,20
CS FY27 Renewal:   Dep. of Comparative Biomedical Sciences (Louisiana State University),4308,1/29/2027,yellow,Named User,Fuzail Kadri,65ae9bb78aa142d04f3e77a5,,Neutral,0,,,Seat at the Table (3/5),20,18,90,10,20
CS FY27 Pilot Renewal:  PILOT: UFZ Center for Environmental Research - Sitewide // Thomas Wieser IT,30810,1/31/2027,orange,Sitewide,Fuzail Kadri,683604fc149d0425ace2d4ec,,,0,,,,561,259,46,115,150
CS FY27 Renewal:   University of South Florida - Department of Molecular Biosciences,8616,1/31/2027,orange,Named User,Fuzail Kadri,65bd3efe63b9dab3ca4cf3bc,,Healthy,0,,,,40,24,60,14,40
CS FY28 Renewal: University of Saskatchewan - College of Ag,8616,2/2/2027,red,Named User (Chargeback),Fuzail Kadri,68d2a06fdc0c53cfc712f87a,,,0,,,,41,30,73,22,34
CS FY27 Renewal:  Centenary Institute,6031.2,7/23/2026,red,Named User (Chargeback),Fuzail Kadri,6696af1b0c8d443eac4b9cb5,,Healthy,0,,,Seat at the Table (3/5),29,24,83,17,28
CS FY27 Renewal:  Riga Stradins University formerly RSU - Institute of Microbiology and Virology // Agnija Vilkaite,10770,5/2/2026,yellow,Named User,Fuzail Kadri,663109d5bbd818a5f5910a8b,10770,Neutral,0,,,Transactional (2/5),51,51,100,30,50
CS FY27 Renewal:    Medical University of Innsbruck //Andi Passer,14647.2,7/12/2026,orange,Named User (Chargeback),Fuzail Kadri,60cb99f41c0e05002807af3d,,Healthy,0,,,Trusted Advisor (4/5),69,68,99,50,56
"CS FY27 Renewal:  Medizinische Hochschule Hannover - Department of Gastroenterology, Hepatology and Endocrinology",7323.6,8/13/2026,orange,Defined Group,Fuzail Kadri,66b241751daf5070ce950dde,,Neutral,0,,,Transactional (2/5),104,37,36,24,34
CS FY27 Renewal:    Swarthmore College,7471,9/19/2026,red,Named User,Fuzail Kadri,6329f7b28dc9890028b7aca9,,Neutral,0,,,Seat at the Table (3/5),115,78,68,28,115
CS FY28 Renewal:     Istituto Neurologico Carlo Besta(IRCCS)//Anna Gasparello,15724.2,4/11/2027,yellow,Named User,Fuzail Kadri,624ddf8c09969500289839e8,,Healthy,0,,,Trusted Expert (5/5),73,72,99,37,73
CS FY27 Renewal:  Georgia State University - Neuroscience Institute // Nancy Forger,9477.6,8/7/2026,orange,Defined Group,Fuzail Kadri,66463cd89e9f93119a62b851,,Healthy,0,,,Transactional (2/5),100,66,66,30,44
CS FY27 Renewal:    University of Eastern Finland,24442.6,6/13/2026,yellow,Named User,Fuzail Kadri,629f7f7f19804e00285fa77c,,Neutral,0,,,,120,117,98,84,106
"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",6462,1/15/2027,yellow,Right to Deploy,Fuzail Kadri,695eb3d822d9a1b239ae4f4f,,,0,,,,40,30,75,26,30
CS FY27 Renewal:  University of Lodz - Faculty of Biology and Environmental Protection,4738.8,12/18/2026,yellow,Right to Deploy,Fuzail Kadri,675a00988eccb7cb0247b126,,,0,,,Transactional (2/5),22,22,100,20,22
CS FY28 Renewal:   IKP Stuttgart - Institute for Clinical Pharmacology,4308,2/20/2027,green,Named User,Fuzail Kadri,65cf93d7ddee51905662500b,,High Risk,0,,,Ghost (0/5),20,19,95,17,20
CS FY27 Renewal:    Fox Chase Cancer Center,22594,8/15/2026,red,Named User (Chargeback),Fuzail Kadri,6356b55c9af5b70021be1a19,,Healthy,0,,,Seat at the Table (3/5),111,110,99,68,110
CS FY27 Renewal:   Los Alamos National Laboratory- Division of Bioscience// Bin Hu,17232,4/18/2026,yellow,Defined Group,Fuzail Kadri,6439c847622f87d1bfca994c,19386,Extremely Healthy,2154,,,Trusted Advisor (4/5),150,139,93,67,80
CS FY27 Renewal:   Oregon State University - Department of Biomedical Sciences // Luiz Bermudezting,9693,3/20/2026,red,Defined Group,Fuzail Kadri,6414c588d62561e701e23e39,0,Neutral,-9693,Low activation (e.g. unassigned seats),,Trusted Advisor (4/5),110,39,35,17,45
CS FY27 Renewal:   Santa Clara University - College of Arts and Sciences,5385,1/2/2027,red,Named User,Fuzail Kadri,6585b9223546951a1ba8b9c0,,Extremely Healthy,0,,,Transactional (2/5),26,22,85,6,25
CS FY27 Renewal:  UT El Paso // Dept of Biological Sciences // Charles Spencer,5385,3/13/2026,red,Named User (Chargeback),Fuzail Kadri,65e79de2fed2bfdb8bd95c90,5385,Full Churn,0,,,Hard to Get (1/5),25,24,96,15,25
CS FY27 Renewal: Augusta University - Vascular Biology Center,4523.4,3/16/2026,green,Named User,Fuzail Kadri,67d48191893f8afe890d3d8b,4523.4,,0,,,Hard to Get (1/5),21,21,100,16,21
