account_name,opportunity_name,free_users_with_dept_match,free_users_without_dept_match,total_free_users,self_serve_with_dept_match,self_serve_without_dept_match,total_self_serve_users,total_users
School of Bioengineering (SRM Institute of Science and Technology),CS FY27 Renewal:  SRM Institute of Science and Technology - School of Bioengineering - Varshini Karthik,2,569,571,0,2,2,573
University of Southampton,CS FY27 Renewal: University of Southampton - School of Clinical & Experimental Sciences,25,276,301,2,53,55,356
University of Southampton,CS FY27 Renewal: University of Southampton - School of Human Development and Health,25,276,301,2,53,55,356
Department of Gastroenterology (Medizinische Hochschule Hannover),"CS FY27 Renewal:  Medizinische Hochschule Hannover - Department of Gastroenterology, Hepatology and Endocrinology",13,244,257,0,94,94,351
University of Saskatchewan,CS FY28 Renewal: University of Saskatchewan - College of Ag,109,160,269,30,47,77,346
Vaccine and Infectious Disease Organization (University of Saskatchewan),CS FY27 Renewal:    University of Saskatchewan - Vaccine and Infectious Disease Organization (VIDO),109,160,269,30,47,77,346
Department of Biochemistry (University of Saskatchewan),"CS FY27 Renewal:    University of Saskatchewan - Department of Biochemistry, Microbiology and Immunology",109,160,269,30,47,77,346
"Anatomy, Physiology and Pharmacology (University of Saskatchewan)","CS FY27 Renewal:  University of Saskatchewan - Dept of Anatomy, Physiology and Pharmacology",109,160,269,30,47,77,346
University of Saskatchewan,CS FY27 Renewal: University of Saskatchewan // College of Dentistry,109,160,269,30,47,77,346
Department of Biological Sciences (Indian Institute of Science),CS FY27 Renewal:  Indian Institute of Science Education and Research Mohali - Department of Biological Sciences,20,275,295,3,21,24,319
Indian Institute of Science,CS FY27 Renewal: Indian Institute of Science //Department of Developmental Biology and Genetics,20,275,295,3,21,24,319
UKE Hamburg,CS FY27 Renewal: UKE Hamburg - iPrime,1,179,180,3,119,122,302
Academic Health Center (University of Cincinnati),CS FY26 Renewal: Academic Health Center,111,120,231,25,46,71,302
Department of Biomedical Engineering (University of Cincinnati),CS FY27 Renewal:  University of Cincinnati - Department of Biomedical Engineering,111,120,231,25,46,71,302
University of Puerto Rico - Biomedical Sciences,CS FY27 Renewal: University of Puerto Rico - Biomedical Sciences,105,142,247,18,18,36,283
University of Puerto Rico - Industrial Biotechnology Learning Center (IBLC),CS FY26 Renewal: University of Puerto Rico - Industrial Biotechnology Learning Center (IBLC),105,142,247,18,18,36,283
University of Puerto Rico,CS FY27 Renewal: University of Puerto Rico // RISE Research Group // Gerardo Torres,105,142,247,18,18,36,283
Oregon State University,CS FY27 Renewal: Oregon State University - Environmental & Molecular Toxicology + Food Science & Technology + COMES,93,127,220,22,36,58,278
Oregon State University - Linus Pauling Institute,CS FY27 Renewal:  Oregon State University - Linus Pauling Institute,93,127,220,22,36,58,278
Department of Biomedical Sciences (Oregon State University),CS FY27 Renewal:   Oregon State University - Department of Biomedical Sciences // Luiz Bermudezting,93,127,220,22,36,58,278
"School of Chemical, Biological and Environmental Engineering (Oregon State University)","CS FY27 Renewal:  Oregon State University - School of Chemical, Biological, and Environmental Engineering",93,127,220,22,36,58,278
Department of Pharmaceutical Sciences (Oregon State University),CS FY28 Renewal:   Oregon State University - Department of Pharmaceutical Sciences,93,127,220,22,36,58,278
Department of Biology (Georgetown University),CS FY27 Renewal:  Georgetown University - Department of Biology,33,162,195,19,62,81,276
Faculty of Medicine (Universität Leipzig),CS FY27 Renewal:  Universität Leipzig - Faculty of Medicine,5,221,226,1,46,47,273
Faculty of Pharmacy (University of Ljubljana),CS FY27 Renewal:   University of Ljubljana - Faculty of Pharmacy,87,151,238,5,29,34,272
University of Ljubljana,CS FY27 Renewal: University of Ljubljana-Biotechnical faculty//Meta Sterniša,87,151,238,5,29,34,272
Institute of Biochemistry (University of Ljubljana),CS FY27 Renewal:   University of Ljubljana - Institute of Biochemistry,87,151,238,5,29,34,272
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",84,176,260,1,0,1,261
CINVESTAV,CS FY27 Renewal:   Cinvestav,13,218,231,0,22,22,253
Department of Medical Biotechnology (University of Siena),CS FY27 Renewal: University of Siena - Department of Medical Biotechnologies,57,175,232,0,15,15,247
University del Piemonte Orientale,CS FY27 Renewal:   University of Eastern Piedmont,94,131,225,4,2,6,231
University Medical Center Hamburg - Eppendorf,CS FY27 Renewal:    University Medical Center Hamburg-Eppendorf - Institute for Cellular and Integrative Physiology,39,166,205,3,19,22,227
Philipps-Universitat Marburg,CS FY27 Renewal: Philipps University of Marburg - Faculty of Medicine,10,181,191,2,28,30,221
Department of Biomedical Sciences (Florida State University),CS FY27 Renewal:   Florida State University - Department of Biomedical Sciences,135,50,185,17,6,23,208
College Of Arts And Science (Florida State University),CS FY27 Renewal:    Florida State University - College of Arts and Sciences (Multiyear 1 of 3),135,50,185,17,6,23,208
College of Health and Human Sciences (Florida State University),CS FY28 Renewal:     Florida State University - College of Health & Human Sciences,135,50,185,17,6,23,208
Department of Molecular Genetics and Microbiology - University of New Mexico,CS FY27 Renewal:   University of New Mexico - Molecular Genetics and Microbiology,55,100,155,14,34,48,203
Department of Cell Biology and Physiology - University of New Mexico,CS FY27 Renewal:    University of New Mexico - Dept of Cell Bio & Physiology,55,100,155,14,34,48,203
Department of Biology (University of New Mexico),CS FY27 Renewal:  University of New Mexico Department of Biology,55,100,155,14,34,48,203
Vascular Biology Center (Augusta University),CS FY27 Renewal: Augusta University - Vascular Biology Center,57,94,151,24,24,48,199
Department of Physiology (Augusta University),CS FY27 Renewal:  Augusta University - Department of Physiology,57,94,151,24,24,48,199
Immunology Center of Georgia (Augusta University),CS FY27 Renewal:  Augusta University - Immunology Center of Georgia,57,94,151,24,24,48,199
Medical University of Innsbruck,CS FY27 Renewal:    Medical University of Innsbruck //Andi Passer,22,134,156,3,35,38,194
Czech Academy of Sciences - Biology Center,CS FY27 Renewal: Czech Academy of Sciences // Miroslav Obornik // Biology Center,20,141,161,1,18,19,180
Institute of Biotechnology (Czech Academy of Sciences),CS FY27 Renewal:  Czech Academy of Sciences - Institute of Biotechnology,20,141,161,1,18,19,180
Czech Academy of Sciences,CS FY27 Renewal: Czech Academy of Sciences // Vaclav Paulocik // Institute of Physiology,20,141,161,1,18,19,180
Faculty of Biology and Environmental Protection (University of Lodz),CS FY27 Renewal:  University of Lodz - Faculty of Biology and Environmental Protection,8,141,149,0,28,28,177
