Organization,Tier,Total Score,Free (Dept Match),Self-Serve (Dept Match),Total Dept Match,Free (All Depts),Self-Serve (All Depts),Total All Users,License Type,Customer Usage Health,True Activation,Renewal Target Amount,Days to Renewal,Renewal Date,License Pts,Health Pts,Activation Pts,Free User Pts,ARR Pts,Renewal Pts
Regional Centre for Biotechnology- 25 Named Users,Tier 1,86,36,0,36,72,2,74,Named User,Green,1.0,5385.0,26,2026-02-23,7,20,18,22,4,15
"University of Saskatchewan - Dept of Anatomy, Physiology and Pharmacology",Tier 1,80,108,30,138,268,76,344,Defined Group,Yellow,1.3658536585365855,8831.4,4,2026-02-01,5,8,18,25,4,20
University of Eastern Finland,Tier 1,75,24,0,24,163,14,177,Named User,Green,0.975,24442.6,136,2026-06-13,7,20,16,18,8,6
Augusta University - Department of Physiology,Tier 1,75,56,24,80,151,48,199,Named User,Green,1.0,4308.0,261,2026-10-16,7,20,18,25,2,3
Florida State University - College of Health & Human Sciences,Tier 1,75,135,17,152,184,23,207,Named User,Green,0.9714285714285714,7539.0,369,2027-02-01,7,20,16,25,4,3
University of Eastern Piedmont,Tier 1,75,94,4,98,226,6,232,Named User,Yellow,0.9838709677419355,12924.0,41,2026-03-10,7,8,16,25,6,13
University of New Mexico - Dept of Cell Bio & Physiology,Tier 2,73,54,14,68,154,48,202,Named User,Green,0.95,4308.0,277,2026-11-01,7,20,16,25,2,3
Indian Institute of Science Education and Research Mohali - Department of Biological Sciences,Tier 2,73,20,3,23,297,24,321,Named User,Green,1.0,5385.0,156,2026-07-03,7,20,18,18,4,6
University of Ljubljana - Faculty of Pharmacy,Tier 2,73,88,5,93,238,34,272,Named User,Yellow,0.9692307692307692,14001.0,61,2026-03-30,7,8,16,25,6,11
University of Cincinnati - Department of Biomedical Engineering,Tier 2,72,110,25,135,230,71,301,Defined Group,Red,1.1666666666666667,5169.6,57,2026-03-26,5,3,18,25,4,17
Augusta University - Vascular Biology Center,Tier 2,71,56,24,80,151,48,199,Named User,Yellow,0.9523809523809523,4523.4,47,2026-03-16,7,8,16,25,2,13
Candice CHUM research Center- Erik Joly,Tier 2,70,8,1,9,58,6,64,Named User,Green,0.9591836734693877,10123.8,74,2026-04-12,7,20,16,10,6,11
University of Puerto Rico,Tier 2,70,104,18,122,245,37,282,Defined Group,Yellow,1.3,6462.0,101,2026-05-09,5,8,18,25,4,10
"National Institute of Biological Sciences, Beijing- Jing Zhang",Tier 2,70,6,0,6,37,1,38,Named User,Green,1.0,7323.6,63,2026-04-01,7,20,18,10,4,11
San Diego State University - Cell and Molecular Biology Program Area (Biology Department),Tier 2,68,46,10,56,124,31,155,Named User,Yellow,1.0,5385.0,150,2026-06-27,7,8,18,25,4,6
University Medical Center Hamburg-Eppendorf - Institute for Cellular and Integrative Physiology,Tier 2,68,40,3,43,208,22,230,Named User,Green,0.9,4308.0,315,2026-12-09,7,20,14,22,2,3
"Oregon State University - School of Chemical, Biological, and Environmental Engineering",Tier 2,67,94,22,116,221,58,279,Named User,Green,0.8571428571428571,4308.0,290,2026-11-14,7,20,10,25,2,3
University of Puerto Rico - Biomedical Sciences,Tier 2,67,104,18,122,245,37,282,Right to Deploy,Yellow,0.9666666666666667,4308.0,36,2026-03-05,3,8,16,25,2,13
Universitat Ramon Llull - Bioengineering,Tier 2,66,14,0,14,77,0,77,Defined Group,Extra Green,2.0,4308.0,286,2026-11-10,5,25,18,14,2,2
Hamad Bin Khalifa - College of Health and Life Sciences,Tier 2,66,43,3,46,57,13,70,Defined Group,Yellow,1.292929292929293,21324.6,142,2026-06-19,5,8,18,22,8,5
UT El Paso,Tier 2,65,46,7,53,108,19,127,Named User (Chargeback),Red,0.96,5385.0,44,2026-03-13,4,3,16,25,4,13
